Question,Question Type,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response #,Explanation,Knowledge Area
Jane is implementing Quality of Service (QoS) on our network. Which of these is one of the KEY benefit of QOS?,multiple-choice,Priority traffic (often VoIP) gets higher priority.,"We have less traffic congestion, because we spread the traffic over multiple paths.",All traffic gets equal preference on the network.,Larger data gets priority. This could be file uploads or downloads.,,,1,"QoS (Quality of Service) gives specific traffic priority over other traffic; this is most commonly VoIP (Voice over IP), or other UDP traffic needing close to real time communication. Other non real time traffic is down prioritized; the 0.25 second delay won’t be noticed.",CBK 4: Communication and Network Security
Which of these protocols is the one Voice over IP (VoIP) PRIMARILY uses?,multiple-choice,UDP,TCP,VIP,BGP,,,1,VoIP uses UDP. It is connectionless; it is better to lose a packet or two than have it retransmitted half a second later.,CBK 4: Communication and Network Security
"We are building a new data center, and we will use the new site for real-time backups of our most critical systems. In the conduits between the demarc and the new server room, there are a lot of power cables. Which type of networking cables would be the BEST to use between the demarc and the server room?",multiple-choice,Copper Ethernet.,Fiber Ethernet.,Wireless.,Coax copper.,,,2,"Fiber Optic Cables are not susceptible to EMI, so the cables can be run next to power cables with no adverse effects.",CBK 4: Communication and Network Security
We are using the OSI model to categorize attacks and threats. Which of these are COMMON layer 2 threats?,multiple-choice,Eavesdropping.,ARP spoofing.,SYN floods.,Ping of death.,,,2,ARP spoofing is an attack where an attacker sends a fake ARP (Address Resolution Protocol) messages over a local area network. This results in associating the attacker's MAC address with the IP address of an authorized computer or server on our network.,CBK 4: Communication and Network Security
"In a new data center implementation, we are wanting to use IPv6 addresses. Which of these statements are TRUE about IPv6 addresses? (Select all that apply).",multi-select,They are 128 bit binary.,They use broadcast addresses.,They use the fe80: prefix for link local addresses.,"They can use EUI/MAC48 addresses, by adding fffe in the middle of the mac address.",They are 32-bit binary.,,"1,3,4","IPv6 is 128-bit binary, often expressed in hexadecimal numbers (using 0-9 and a-f); for Link Local addresses we add the fe80: prefix to an address, and for EUI/MAC48 addresses we add “fffe” to make it an EUI/MAC64 address.",CBK 4: Communication and Network Security
Which of these protocols is NOT found on layer 3 of the OSI model?,multiple-choice,IP.,ICMP.,IKE.,IMAP.,,,4,"IMAP is a layer 7 protocol. IP, IPSEC, IKE, ICMP, … are all layer 3 protocols.",CBK 4: Communication and Network Security
Which layer of the Open Systems Interconnect (OSI) model isolates traffic into broadcast domains?,multiple-choice,1,5,3,4,,,3,Layer 3: Network Layer: Expands to many different nodes (IP) – The Internet is IP based. Isolates traffic into broadcast domains.,CBK 4: Communication and Network Security
"As part of our layered defense, and to prevent unauthorized devices on our network, we have added the MAC sticky command. Where would we configure that?",multiple-choice,Desktop.,Switch.,File server.,Router.,Firewall.,,2,"Good switch security includes shut down unused ports, add mac-sticky and hardcode if ports are access or trunk ports. Making all ports trunk ports is a bad idea.",CBK 4: Communication and Network Security
"To establish a TCP session, we are using the TCP 3-way handshake. What is the correct order of the handshake?",multiple-choice,SYN > SYN/ACK > SYN.,SYN/ACK > ACK > SYN.,SYN > ACK > ACK.,SYN > SYN/ACK > ACK.,,,4,The 3-way handshake is client SYN > Server SYN/ACK > Client ACK.,CBK 4: Communication and Network Security
Which of these is a TRUE statement about the TCP protocol?,multiple-choice,It is connection oriented.,It is connectionless.,It is always encrypted.,It is proprietary.,,,1,"TCP (Transmission Control Protocol): Reliable, Connection oriented, Guaranteed delivery, 3 way handshake, slower/more overhead, data reassembled.",CBK 4: Communication and Network Security
Which organization is responsible for delegating IP address ranges to ISPs in North America?,multiple-choice,ARIN.,APNIC.,LACNIC.,RIPE NNC.,,,1,"The world is divided into RIR (Regional Internet Registry) regions and organizations in those areas delegate the address space they have control over. ARIN (American Registry for Internet Numbers): United States, Canada, several parts of the Caribbean region, and Antarctica.",CBK 4: Communication and Network Security
172.32.0.0/24 is which type of IPv4 addresses?,multiple-choice,Loopback.,Link-local.,Private.,Public.,,,4,"This is a public address and it is internet routable, not to be confused by the private IPv4 range of 172.16.0.0 – 172.31.255.255, we can use them on our internal network, they are not routable on the internet.",CBK 4: Communication and Network Security
A system is requesting an IP address using DHCP. How would the traffic flow look?,multiple-choice,Request > Offer >Discovery > Acknowledge.,Request > Discovery > Offer > Acknowledge.,Request > Offer > Acceptance > Acknowledge.,Discovery > Offer > Request > Acknowledge.,,,4,DHCP (Dynamic Host Configuration Protocol) uses the Discovery > Offer > Request > Acknowledge flow. It is the protocol we use to assign IP’s. Controlled by a DHCP Server for your environment.,CBK 4: Communication and Network Security
